img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
121,pavilion_048_1785.jpg,pavilion_048,20,4,16,259,0.2,uavdt,image_lockbox,raw960,0.018750000000000003
126,pavilion_048_2070.jpg,pavilion_048,22,2,20,246,0.09090909090909091,uavdt,image_lockbox,raw960,0.018750000000000003
127,pavilion_048_2145.jpg,pavilion_048,23,5,18,248,0.21739130434782608,uavdt,image_lockbox,raw960,0.018750000000000003
134,pavilion_048_2565.jpg,pavilion_048,26,1,25,256,0.038461538461538464,uavdt,image_lockbox,raw960,0.018750000000000003
148,pavilion_048_3645.jpg,pavilion_048,21,3,18,247,0.14285714285714285,uavdt,image_lockbox,raw960,0.018750000000000003
151,pavilion_048_3855.jpg,pavilion_048,20,3,17,241,0.15,uavdt,image_lockbox,raw960,0.018750000000000003
160,pavilion_048_435.jpg,pavilion_048,20,3,17,251,0.15,uavdt,image_lockbox,raw960,0.018750000000000003
173,pavilion_048_5415.jpg,pavilion_048,25,1,24,255,0.04,uavdt,image_lockbox,raw960,0.018750000000000003
176,pavilion_048_5655.jpg,pavilion_048,24,1,23,251,0.041666666666666664,uavdt,image_lockbox,raw960,0.018750000000000003
182,pavilion_048_6000.jpg,pavilion_048,25,2,23,253,0.08,uavdt,image_lockbox,raw960,0.018750000000000003
184,pavilion_048_6135.jpg,pavilion_048,23,3,20,256,0.13043478260869565,uavdt,image_lockbox,raw960,0.018750000000000003
187,pavilion_048_630.jpg,pavilion_048,20,3,17,262,0.15,uavdt,image_lockbox,raw960,0.018750000000000003
188,pavilion_048_6480.jpg,pavilion_048,22,3,19,260,0.13636363636363635,uavdt,image_lockbox,raw960,0.018750000000000003
189,pavilion_048_6525.jpg,pavilion_048,23,3,20,256,0.13043478260869565,uavdt,image_lockbox,raw960,0.018750000000000003
191,pavilion_048_6765.jpg,pavilion_048,23,2,21,250,0.08695652173913043,uavdt,image_lockbox,raw960,0.018750000000000003
198,pavilion_048_7215.jpg,pavilion_048,22,2,20,238,0.09090909090909091,uavdt,image_lockbox,raw960,0.018750000000000003
202,pavilion_048_7485.jpg,pavilion_048,24,2,22,253,0.08333333333333333,uavdt,image_lockbox,raw960,0.018750000000000003
204,pavilion_048_7605.jpg,pavilion_048,24,3,21,246,0.125,uavdt,image_lockbox,raw960,0.018750000000000003
205,pavilion_048_7650.jpg,pavilion_048,24,4,20,251,0.16666666666666666,uavdt,image_lockbox,raw960,0.018750000000000003
209,pavilion_048_7995.jpg,pavilion_048,24,0,24,247,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
212,pavilion_048_8415.jpg,pavilion_048,21,2,19,241,0.09523809523809523,uavdt,image_lockbox,raw960,0.018750000000000003
219,pavilion_048_990.jpg,pavilion_048,21,3,18,251,0.14285714285714285,uavdt,image_lockbox,raw960,0.018750000000000003
222,train11.jpg,train11,14,1,13,272,0.07142857142857142,uavdt,image_lockbox,raw960,0.018750000000000003
251,traina115.jpg,traina115,2,0,2,198,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
252,traina119.jpg,traina119,3,1,2,166,0.3333333333333333,uavdt,image_lockbox,raw960,0.018750000000000003
254,traina144.jpg,traina144,2,0,2,218,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
255,traina15.jpg,traina15,3,1,2,128,0.3333333333333333,uavdt,image_lockbox,raw960,0.018750000000000003
258,traina162.jpg,traina162,6,0,6,241,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
259,traina163.jpg,traina163,2,0,2,202,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
263,traina176.jpg,traina176,19,0,19,279,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
264,traina179.jpg,traina179,3,0,3,163,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
266,traina181.jpg,traina181,13,1,12,286,0.07692307692307693,uavdt,image_lockbox,raw960,0.018750000000000003
267,traina183.jpg,traina183,3,1,2,111,0.3333333333333333,uavdt,image_lockbox,raw960,0.018750000000000003
278,traina230.jpg,traina230,10,2,8,262,0.2,uavdt,image_lockbox,raw960,0.018750000000000003
283,traina263.jpg,traina263,3,0,3,164,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
288,traina323.jpg,traina323,3,0,3,156,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
290,traina341.jpg,traina341,8,1,7,277,0.125,uavdt,image_lockbox,raw960,0.018750000000000003
